Borough,AverageSpeed
Barking and Dagenham,10.39
Barnet,10.40
Bexley,11.80
Brent,8.79
Bromley,11.73
Camden,7.05
City of London,6.25
Croydon,9.92
Ealing,8.74
Enfield,9.85
Greenwich,10.28
Hackney,7.75
Hammersmith and Fulham,7.65
Haringey,8.37
Harrow,10.43
Havering,11.03
Hillingdon,11.92
Hounslow,9.19
Islington,7.57
Kensington and Chelsea,7.22
Kingston upon Thames,9.75
Lambeth,7.91
Lewisham,8.85
Merton,9.23
Newham,9.05
Redbridge,10.07
Richmond upon Thames,10.02
Southwark,8.12
Sutton,10.72
Tower Hamlets,8.47
Waltham Forest,8.68
Wandsworth,8.20
Westminster,7.20
