route,points,first_period_label,first_source_sheet,first_date,first_speed,latest_period_label,latest_source_sheet,latest_date,latest_speed,prev_speed_full,abs_change_full,pct_change_full,base_period_label_1yr,base_source_sheet_1yr,base_date_1yr,prev_speed_1yr,abs_change_1yr,pct_change_1yr,base_period_label_5yr,base_source_sheet_5yr,base_date_5yr,prev_speed_5yr,abs_change_5yr,pct_change_5yr,base_period_label_10yr,base_source_sheet_10yr,base_date_10yr,prev_speed_10yr,abs_change_10yr,pct_change_10yr,include_in_map,flags
611,86,P01/2013,2013-14,2013-04-01,10.428801680538596,P12/2020,2020-21,2021-02-03,17.8120325195009,10.428801680538596,7.383230838962303,70.7965408215625,P12/2019,2019-20,2020-02-03,10.849963715629952,6.962068803870947,64.16674733982488,P12/2015,2015-16,2016-02-03,9.339256735544964,8.472775783955935,90.72216369969544,P01/2013,2013-14,2013-04-01,10.428801680538596,7.383230838962303,70.7965408215625,True,
UL26,29,P04/2015,2015-16,2015-06-24,7.4892819917274815,P05/2024,2024-25,2024-07-22,12.02515815440709,7.4892819917274815,4.535876162679608,60.564900182552215,P02/2023,2023-24,2023-04-29,11.904211050204276,0.12094710420281274,1.0160026875593513,P02/2019,2019-20,2019-04-29,12.95825455367753,-0.9330963992704415,-7.2007876940928774,P04/2015,2015-16,2015-06-24,7.4892819917274815,4.535876162679608,60.564900182552215,True,
UL40,47,P02/2017,2017-18,2017-04-29,9.752545089652331,P13/2024,2024-25,2025-03-03,14.953195337517428,9.752545089652331,5.200650247865097,53.32608257697884,P13/2023,2023-24,2024-03-02,14.64444364199166,0.30875169552576764,2.108319735960806,P01/2020,2020-21,2020-04-01,13.9902811936269,0.9629141438905275,6.882736169228472,P02/2017,2017-18,2017-04-29,9.752545089652331,5.200650247865097,53.32608257697884,True,
UL9,18,P05/2015,2015-16,2015-07-22,7.279662942576883,P06/2024,2024-25,2024-08-19,10.674938625604948,7.279662942576883,3.395275683028065,46.64056165526521,P06/2024,2024-25,2024-08-19,10.674938625604948,0.0,0.0,P10/2018,2018-19,2018-12-09,22.82380181700341,-12.148863191398462,-53.228919917924145,P05/2015,2015-16,2015-07-22,7.279662942576883,3.395275683028065,46.64056165526521,True,
82,53,P01/2013,2013-14,2013-04-01,8.952767283461107,P10/2017,2017-18,2017-12-09,12.934539229688028,8.952767283461107,3.981771946226921,44.475320536731104,P10/2016,2016-17,2016-12-09,8.589871851855134,4.344667377832893,50.57895452648209,P01/2013,2013-14,2013-04-01,8.952767283461107,3.981771946226921,44.475320536731104,P01/2013,2013-14,2013-04-01,8.952767283461107,3.981771946226921,44.475320536731104,True,
931,54,P01/2013,2013-14,2013-04-01,9.101688704724076,P09/2017,2017-18,2017-11-11,12.43904462039055,9.101688704724076,3.3373559156664747,36.66743638391277,P09/2016,2016-17,2016-11-11,12.289518417088114,0.14952620330243604,1.2166970114510383,P01/2013,2013-14,2013-04-01,9.101688704724076,3.3373559156664747,36.66743638391277,P01/2013,2013-14,2013-04-01,9.101688704724076,3.3373559156664747,36.66743638391277,True,
675,154,P01/2013,2013-14,2013-04-01,7.706700375468268,P13/2025,2025-26,2026-03-03,10.283051699755308,7.706700375468268,2.5763513242870406,33.430018020267184,P13/2024,2024-25,2025-03-03,10.481989081724349,-0.19893738196904032,-1.8978972446736604,P13/2020,2020-21,2021-03-03,8.32166863228599,1.9613830674693187,23.56958867431519,P13/2015,2015-16,2016-03-02,7.834525749222868,2.4485259505324404,31.253020653806868,True,
V639,11,P03/2020,2020-21,2020-05-27,8.61709076605083,P11/2021,2021-22,2022-01-06,11.3737183300231,8.61709076605083,2.7566275639722715,31.990234741784214,P10/2020,2020-21,2020-12-09,8.99323516052432,2.380483169498781,26.469708920187905,P03/2020,2020-21,2020-05-27,8.61709076605083,2.7566275639722715,31.990234741784214,P03/2020,2020-21,2020-05-27,8.61709076605083,2.7566275639722715,31.990234741784214,True,
V380,10,P03/2020,2020-21,2020-05-27,8.10434103512351,P13/2021,2021-22,2022-03-03,10.6472876482627,8.10434103512351,2.5429466131391916,31.377586433224884,P13/2020,2020-21,2021-03-03,9.35345564014859,1.2938320081141104,13.832663112876606,P03/2020,2020-21,2020-05-27,8.10434103512351,2.5429466131391916,31.377586433224884,P03/2020,2020-21,2020-05-27,8.10434103512351,2.5429466131391916,31.377586433224884,True,
V152,10,P01/2020,2020-21,2020-04-01,6.27112906845834,P11/2021,2021-22,2022-01-06,8.01987252833218,6.27112906845834,1.7487434598738396,27.885623797306746,P10/2020,2020-21,2020-12-09,6.57062655054766,1.4492459777845195,22.05643505433626,P01/2020,2020-21,2020-04-01,6.27112906845834,1.7487434598738396,27.885623797306746,P01/2020,2020-21,2020-04-01,6.27112906845834,1.7487434598738396,27.885623797306746,True,
V632,10,P01/2020,2020-21,2020-04-01,9.50844524610776,P13/2021,2021-22,2022-03-03,11.9055480993822,9.50844524610776,2.39710285327444,25.210250374588668,P13/2020,2020-21,2021-03-03,10.370755142871,1.5347929565112004,14.799240126368602,P01/2020,2020-21,2020-04-01,9.50844524610776,2.39710285327444,25.210250374588668,P01/2020,2020-21,2020-04-01,9.50844524610776,2.39710285327444,25.210250374588668,True,
W14,168,P01/2013,2013-14,2013-04-01,9.997969806313325,P13/2025,2025-26,2026-03-03,12.495278245397692,9.997969806313325,2.4973084390843674,24.97815544019162,P13/2024,2024-25,2025-03-03,12.783950724703516,-0.2886724793058235,-2.2580850436790025,P13/2020,2020-21,2021-03-03,11.6557405525971,0.839537692800592,7.20278294641286,P13/2015,2015-16,2016-03-02,9.791447679123625,2.7038305662740676,27.614206344981174,True,
UL69,21,P05/2018,2018-19,2018-07-22,10.454299205294497,P12/2025,2025-26,2026-02-03,13.064049005589526,10.454299205294497,2.6097498002950292,24.963412171839718,P11/2024,2024-25,2025-01-06,12.684060722529454,0.37998828306007226,2.995793629284164,P10/2020,2020-21,2020-12-09,14.0628853230579,-0.9988363174683741,-7.102641417623268,P05/2018,2018-19,2018-07-22,10.454299205294497,2.6097498002950292,24.963412171839718,True,
209,168,P01/2013,2013-14,2013-04-01,9.884926161208094,P13/2025,2025-26,2026-03-03,12.305229449764468,9.884926161208094,2.420303288556374,24.484788748898197,P13/2024,2024-25,2025-03-03,12.14293471645185,0.1622947333126188,1.3365363242275679,P13/2020,2020-21,2021-03-03,13.2625853023955,-0.9573558526310322,-7.218470839604054,P13/2015,2015-16,2016-03-02,10.717250917159246,1.5879785326052218,14.817032323678553,True,
UL18,49,P08/2014,2014-15,2014-10-14,11.479508483334948,P01/2024,2024-25,2024-04-01,14.250752439728814,11.479508483334948,2.7712439563938656,24.140789306588697,P06/2023,2023-24,2023-08-19,14.355135158568183,-0.10438271883936956,-0.7271454966208828,P01/2019,2019-20,2019-04-01,14.0831226211325,0.1676298185963141,1.190288710152792,P08/2014,2014-15,2014-10-14,11.479508483334948,2.7712439563938656,24.140789306588697,True,
241,168,P01/2013,2013-14,2013-04-01,8.92695191902794,P13/2025,2025-26,2026-03-03,10.941321609360363,8.92695191902794,2.0143696903324226,22.565033491877127,P13/2024,2024-25,2025-03-03,9.535318901060297,1.4060027083000666,14.745209078888003,P13/2020,2020-21,2021-03-03,9.6387244252065,1.3025971841538642,13.514207136656026,P13/2015,2015-16,2016-03-02,8.828181648496606,2.113139960863757,23.936299059088952,True,
V256,9,P04/2020,2020-21,2020-06-24,9.18574285131167,P12/2021,2021-22,2022-02-03,11.1812304632155,9.18574285131167,1.9954876119038314,21.723747814461056,P13/2020,2020-21,2021-03-03,11.2812452052387,-0.10001474202319827,-0.8865576468168086,P04/2020,2020-21,2020-06-24,9.18574285131167,1.9954876119038314,21.723747814461056,P04/2020,2020-21,2020-06-24,9.18574285131167,1.9954876119038314,21.723747814461056,True,
UL50,31,P03/2017,2017-18,2017-05-27,11.4680849588356,P07/2024,2024-25,2024-09-16,13.910212443459294,11.4680849588356,2.4421274846236933,21.294989471996832,P05/2023,2023-24,2023-07-22,13.519442954602845,0.39076948885644924,2.8904259603640505,P06/2019,2019-20,2019-08-19,10.944519144901165,2.9656932985581292,27.097520313990103,P03/2017,2017-18,2017-05-27,11.4680849588356,2.4421274846236933,21.294989471996832,True,
UL14,22,P01/2013,2013-14,2013-04-01,11.888533199810777,P10/2022,2022-23,2022-12-09,14.362196938956032,11.888533199810777,2.4736637391452554,20.80713993535071,P13/2021,2021-22,2022-03-03,14.13622863081827,0.22596830813776236,1.5985049056516445,P10/2017,2017-18,2017-12-09,14.466347206383244,-0.10415026742721167,-0.7199486224224979,P01/2013,2013-14,2013-04-01,11.888533199810777,2.4736637391452554,20.80713993535071,True,
UL20,37,P03/2014,2014-15,2014-05-27,10.318199637332691,P11/2022,2022-23,2023-01-06,12.445396933627778,10.318199637332691,2.127197296295087,20.61597343589466,P12/2021,2021-22,2022-02-03,12.5883420486016,-0.14294511497382167,-1.1355356759606083,P09/2017,2017-18,2017-11-11,11.159137829111712,1.2862591045160663,11.526509701856195,P03/2014,2014-15,2014-05-27,10.318199637332691,2.127197296295087,20.61597343589466,True,
V683,10,P01/2020,2020-21,2020-04-01,8.49804576286597,P11/2021,2021-22,2022-01-06,10.1306721812671,8.49804576286597,1.632626418401129,19.21178661493257,P11/2020,2020-21,2021-01-06,7.72199024336908,2.4086819378980193,31.19250169949864,P01/2020,2020-21,2020-04-01,8.49804576286597,1.632626418401129,19.21178661493257,P01/2020,2020-21,2020-04-01,8.49804576286597,1.632626418401129,19.21178661493257,True,
V57,9,P04/2020,2020-21,2020-06-24,6.99253449760735,P12/2021,2021-22,2022-02-03,8.32959748224909,6.99253449760735,1.3370629846417401,19.121292645738762,P13/2020,2020-21,2021-03-03,6.88446171647427,1.44513576577482,20.991267368321072,P04/2020,2020-21,2020-06-24,6.99253449760735,1.3370629846417401,19.121292645738762,P04/2020,2020-21,2020-06-24,6.99253449760735,1.3370629846417401,19.121292645738762,True,
UL4,15,P12/2014,2014-15,2015-02-03,8.264806377780898,P08/2021,2021-22,2021-10-14,9.83263657567367,8.264806377780898,1.5678301978927713,18.969956780932286,P01/2021,2021-22,2021-04-01,9.80248890246977,0.030147673203899217,0.3075512097371863,P08/2016,2016-17,2016-10-14,9.237411384239827,0.5952251914338422,6.443636281581769,P12/2014,2014-15,2015-02-03,8.264806377780898,1.5678301978927713,18.969956780932286,True,
533,89,P01/2019,2019-20,2019-04-01,11.318009897246,P13/2025,2025-26,2026-03-03,13.339299425397767,11.318009897246,2.021289528151767,17.859054255144322,P13/2024,2024-25,2025-03-03,12.668886733590886,0.6704126918068809,5.291804291132519,P13/2020,2020-21,2021-03-03,14.5431007180882,-1.2038012926904322,-8.2774733946055,P01/2019,2019-20,2019-04-01,11.318009897246,2.021289528151767,17.859054255144322,True,
965,72,P01/2013,2013-14,2013-04-01,9.091541154493395,P13/2018,2018-19,2019-03-03,10.707432564025172,9.091541154493395,1.615891409531777,17.77356976196649,P13/2017,2017-18,2018-03-03,10.155573006807732,0.5518595572174405,5.434056324025287,P13/2013,2013-14,2014-03-03,9.674004333811496,1.0334282302136764,10.682528088205975,P01/2013,2013-14,2013-04-01,9.091541154493395,1.615891409531777,17.77356976196649,True,
N6,168,P01/2013,2013-14,2013-04-01,10.83296430579998,P13/2025,2025-26,2026-03-03,12.709444371865429,10.83296430579998,1.876480066065449,17.321944512092408,P13/2024,2024-25,2025-03-03,11.963473474325202,0.7459708975402268,6.235403949707033,P13/2020,2020-21,2021-03-03,11.7644364386971,0.9450079331683288,8.032751403712693,P13/2015,2015-16,2016-03-02,10.77869399892572,1.930750372939709,17.912655959359654,True,
405D,105,P01/2013,2013-14,2013-04-01,8.526863127427259,P12/2021,2021-22,2022-02-03,9.99690235949158,8.526863127427259,1.4700392320643214,17.240094160018074,P12/2020,2020-21,2021-02-03,8.99737608436462,0.9995262751269607,11.109086313107536,P12/2016,2016-17,2017-02-03,8.398415826556445,1.5984865329351354,19.033191091593686,P01/2013,2013-14,2013-04-01,8.526863127427259,1.4700392320643214,17.240094160018074,True,
619,31,P01/2015,2015-16,2015-04-01,8.087752744994908,P13/2017,2017-18,2018-03-03,9.435873564928022,8.087752744994908,1.3481208199331132,16.668670055070557,P13/2016,2016-17,2017-03-03,8.069417010453384,1.366456554474638,16.933770465753426,P01/2015,2015-16,2015-04-01,8.087752744994908,1.3481208199331132,16.668670055070557,P01/2015,2015-16,2015-04-01,8.087752744994908,1.3481208199331132,16.668670055070557,True,
UL52,12,P06/2018,2018-19,2018-08-19,13.189289093675066,P13/2023,2023-24,2024-03-02,15.385913896705995,13.189289093675066,2.1966248030309288,16.654611081990172,P12/2022,2022-23,2023-02-03,14.662190833522956,0.7237230631830389,4.935981746522845,P10/2018,2018-19,2018-12-09,12.890957525574034,2.494956371131961,19.354313798507846,P06/2018,2018-19,2018-08-19,13.189289093675066,2.1966248030309288,16.654611081990172,True,
V376,10,P01/2020,2020-21,2020-04-01,8.89525767824204,P13/2021,2021-22,2022-03-03,10.3002895455167,8.89525767824204,1.4050318672746602,15.79529135745436,P11/2020,2020-21,2021-01-06,7.88573336138203,2.4145561841346694,30.619297831692112,P01/2020,2020-21,2020-04-01,8.89525767824204,1.4050318672746602,15.79529135745436,P01/2020,2020-21,2020-04-01,8.89525767824204,1.4050318672746602,15.79529135745436,True,
15H,85,P01/2013,2013-14,2013-04-01,5.874601198703912,P13/2019,2019-20,2020-03-02,6.77988276052327,5.874601198703912,0.9052815618193577,15.410093914444541,P13/2018,2018-19,2019-03-03,5.045899714762054,1.7339830457612155,34.36419952398883,P13/2014,2014-15,2015-03-03,5.532282567815958,1.2476001927073117,22.551273862351557,P01/2013,2013-14,2013-04-01,5.874601198703912,0.9052815618193577,15.410093914444541,True,
45,168,P01/2013,2013-14,2013-04-01,7.281063766430813,P13/2025,2025-26,2026-03-03,8.393153234436694,7.281063766430813,1.1120894680058813,15.273722407612276,P13/2024,2024-25,2025-03-03,7.521545160206485,0.8716080742302088,11.588151844670715,P13/2020,2020-21,2021-03-03,8.44500212148416,-0.05184888704746626,-0.6139594318817545,P13/2015,2015-16,2016-03-02,6.565371004799324,1.8277822296373696,27.839740180733884,True,
699,157,P01/2013,2013-14,2013-04-01,9.957340514342166,P13/2025,2025-26,2026-03-03,11.45125543184469,9.957340514342166,1.493914917502524,15.003151849138302,P13/2024,2024-25,2025-03-03,12.311203790395444,-0.8599483585507546,-6.9850875120891205,P13/2020,2020-21,2021-03-03,13.3497605489109,-1.898505117066211,-14.221267191351195,P13/2015,2015-16,2016-03-02,11.263645061360108,0.18761037048458107,1.665627507459177,True,
UL12,14,P05/2015,2015-16,2015-07-22,12.675376982252764,P10/2021,2021-22,2021-12-09,14.549077212785372,12.675376982252764,1.8737002305326076,14.782205161677167,P05/2020,2020-21,2020-07-22,14.3349585105727,0.21411870221267115,1.4936820504555253,P10/2016,2016-17,2016-12-09,13.497614814979022,1.0514623978063504,7.789986691867119,P05/2015,2015-16,2015-07-22,12.675376982252764,1.8737002305326076,14.782205161677167,True,
541,32,P01/2013,2013-14,2013-04-01,7.7817215190524305,P01/2016,2016-17,2016-04-01,8.930525795369425,7.7817215190524305,1.1488042763169943,14.762855153635499,P01/2015,2015-16,2015-04-01,8.9499787125361,-0.01945291716667441,-0.21735154676320073,P01/2013,2013-14,2013-04-01,7.7817215190524305,1.1488042763169943,14.762855153635499,P01/2013,2013-14,2013-04-01,7.7817215190524305,1.1488042763169943,14.762855153635499,True,
N13,168,P01/2013,2013-14,2013-04-01,12.603307030430864,P13/2025,2025-26,2026-03-03,14.4308219832975,12.603307030430864,1.8275149528666361,14.500281144100317,P13/2024,2024-25,2025-03-03,14.506226106583638,-0.07540412328613755,-0.5198052390201988,P13/2020,2020-21,2021-03-03,15.0022311751972,-0.5714091918997006,-3.808828068483551,P13/2015,2015-16,2016-03-02,12.618052687685603,1.812769295611897,14.366474292669912,True,
