Route,Period,Speed
1,2025-04-01 00:00:00,6.771498
1,2025-04-26 00:00:00,6.351582
1,2025-05-24 00:00:00,6.709379
1,2025-06-21 00:00:00,6.459521
1,2025-07-19 00:00:00,6.805407
1,2025-08-16 00:00:00,6.47382
1,2025-09-13 00:00:00,6.446321
1,2025-10-11 00:00:00,6.344755
1,2025-11-08 00:00:00,6.226698
1,2025-12-06 00:00:00,7.051451
1,2026-01-03 00:00:00,6.976023
1,2026-01-31 00:00:00,6.805596
100,2025-04-01 00:00:00,7.415696
100,2025-04-26 00:00:00,7.632208
100,2025-05-24 00:00:00,7.602329
100,2025-06-21 00:00:00,7.054379
100,2025-07-19 00:00:00,7.617125
100,2025-08-16 00:00:00,7.327886
100,2025-09-13 00:00:00,7.409019
100,2025-10-11 00:00:00,7.219466
100,2025-11-08 00:00:00,7.350527
100,2025-12-06 00:00:00,7.994582
100,2026-01-03 00:00:00,7.881232
100,2026-01-31 00:00:00,7.713763
101,2025-04-01 00:00:00,9.274982
101,2025-04-26 00:00:00,8.890072
101,2025-05-24 00:00:00,9.178292
101,2025-06-21 00:00:00,8.99859
101,2025-07-19 00:00:00,9.475638
101,2025-08-16 00:00:00,9.119616
101,2025-09-13 00:00:00,8.8893
101,2025-10-11 00:00:00,8.844309
101,2025-11-08 00:00:00,8.513534
101,2025-12-06 00:00:00,9.193845
101,2026-01-03 00:00:00,9.203099
101,2026-01-31 00:00:00,9.084077
102,2025-04-01 00:00:00,9.909216
102,2025-04-26 00:00:00,9.642909
102,2025-05-24 00:00:00,9.752608
102,2025-06-21 00:00:00,9.453342
102,2025-07-19 00:00:00,9.967687
102,2025-08-16 00:00:00,9.600452
102,2025-09-13 00:00:00,9.272742
102,2025-10-11 00:00:00,9.420755
102,2025-11-08 00:00:00,9.352266
102,2025-12-06 00:00:00,9.864875
102,2026-01-03 00:00:00,9.624236
102,2026-01-31 00:00:00,9.549448
103,2025-04-01 00:00:00,11.690299
103,2025-04-26 00:00:00,11.284556
103,2025-05-24 00:00:00,11.628563
103,2025-06-21 00:00:00,10.921025
103,2025-07-19 00:00:00,11.873272
103,2025-08-16 00:00:00,11.364157
103,2025-09-13 00:00:00,10.780908
103,2025-10-11 00:00:00,11.093092
103,2025-11-08 00:00:00,10.884036
103,2025-12-06 00:00:00,11.493888
103,2026-01-03 00:00:00,11.237929
103,2026-01-31 00:00:00,11.324371
